study	relevance	note	journal	year_published	model_name	energy_system	target_year	spatial_scope	spatial_level	central_framework	justice primary focus	implicit/explicit justice	type_of_justice	cause_of_justice	equity_definitions	handled_in_model	social_aspect	results	objective
Bolwig, S., Bolkesjø, T. F., Klitkou, A., Lund, P. D., Bergaentzlé, C., Borch, K., Olsen, O. J., Kirkerud, J. G., Chen, Y., Gunkel, P. A., & Skytte, K. (2020). Climate-friendly but socially rejected energy-transition pathways: The integration of techno-economic and socio-technical approaches in the Nordic-Baltic region. Energy Research & Social Science, 67, 101559. https://doi.org/10.1016/j.erss.2020.101559	Yes	informed scenarios	Energy Research & Social Science	2020	BALMOREL	electricity and heat	2050	Denmark, Estonia, Finland, Latvia, Lithuania, Norway and Sweden	country	Three perspectives on national energy transitions	No	implicit	spatial distribution	electricity prices and revenues, allocation of energy technologies, consumer cost of electricity	not defined	Scenarios - cost adders for onshore wind and transmission lines		restriction on wind increase electricity prices in the Nordics (except Denmark) and the Baltics, while restriction on transmission do the opposite. 	
Drechsler, M., Egerer, J., Lange, M., Masurowski, F., Meyerhoff, J., & Oehlmann, M. (2017). Efficient and equitable spatial allocation of renewable power plants at the country scale. Nature Energy, 2(9), 1–9. https://doi.org/10.1038/nenergy.2017.124	Yes		Nature Energy	2017	ELMOD-DE	power system	2012	Germany	NUTS1	not defined	Yes	explicit	spatial distribution	allocation of energy technologies	equality	multi-objective genetic algorithm			
"Fell, M. J., Pye, S., & Hamilton, I. (2020). Capturing the distributional impacts of long-term low-carbon transitions. Environmental Innovation and Societal Transitions, 35, 346–356. https://doi.org/10.1016/j.eist.2019.01.007
"	Yes		Environmental Innovation and Societal Transitions	2020	ESME	energy system	2050	United Kingdom	NUTS1 + 12 offshore (24 regions)		Yes	explicit	societal distribution	Socio-economic indicators	not defined				
Grimsrud, K. M., Hagem, C., Lind, A., & Lindhjem, H. (2020). Efficient spatial allocation of wind power plants given environmental externalities due to turbines and grids (Discussion Paper No. 938; p. 30). Statistics Norway. https://www.ssb.no/en/forskning/discussion-papers/_attachment/430436?_ts=174494097a0	Yes			2020	TIMES-Norway	energy system	2050	Norway	Nord Pool market zones	WTP & WTA		implicit	spatial distribution	allocation of wind power	not defined	environmental costs included	social cost = private costs + environmental costs		
"Li, F. G. N., Pye, S., & Strachan, N. (2016). Regional winners and losers in future UK energy system transitions. Energy Strategy Reviews, 13–14, 11–31. https://doi.org/10.1016/j.esr.2016.08.002
"	Yes		Energy Strategy Reviews	2016	ESME	energy system	2050	United Kingdom	NUTS1 + 12 offshore (24 regions)	Realising Transition Pathways	Yes	implicit	spatial distribution	allocation of energy technologies and costs	not defined	Socio-technical scenarios			
Lombardi, F., Pickering, B., Colombo, E., & Pfenninger, S. (2020). Policy Decision Support for Renewables Deployment through Spatially Explicit Practically Optimal Alternatives. Joule, 4(10), 2185–2207. https://doi.org/10.1016/j.joule.2020.08.002	Yes		Joule	2020	Calliope	power system	2050	Italy	NUTS2 + market zones		No	implicit	spatial distribution	allocation of wind power and transmission utilisation	not defined	MGA	social value maximisation (total system cost – gross value added)		
Menghwani, V., Zerriffi, H., Korkovelos, A., Khavari, B., Sahlberg, A., Howells, M., & Mentis, D. (2020). Planning with justice: Using spatial modelling to incorporate justice in electricity pricing – The case of Tanzania. Applied Energy, 264, 114749. https://doi.org/10.1016/j.apenergy.2020.114749	Maybe	Is it ok to include	Applied Energy	2020	ONSSET	power system	2030	Tanzania	Grid-cell (1km x 1km)	Energy justice	Yes	explicit	spatial and societal distribution	Affordable electricity pricing	equality, equity		equal electricity prices across space or adjusted to the poverty rate of a region		
Neumann, F. (2021). Costs of regional equity and autarky in a renewable European power system. Energy Strategy Reviews, 35, 100652. https://doi.org/10.1016/j.esr.2021.100652	Yes		Energy Strategy Reviews	2021	PyPSA-Eur	power system	2030	Europe	below NUTS3 (voronoi cells)		Yes	explicit	spatial distribution	allocation of energy technologies	equality	equity constraints			
Neumann, F., & Brown, T. (2021). The near-optimal feasible space of a renewable power system model. Electric Power Systems Research, 190, 106690. https://doi.org/10.1016/j.epsr.2020.106690	Yes		Electric Power Systems Research	2021	PyPSA-Eur	power system	2030	Europe	below NUTS3 (voronoi cells)		No	explicit	spatial distribution	allocation of energy technologies		MGA			
"Nock, D., Levin, T., & Baker, E. (2020). Changing the policy paradigm: A benefit maximization approach to electricity planning in developing countries. Applied Energy, 264, 114583. https://doi.org/10.1016/j.apenergy.2020.114583
"	Yes		Applied Energy	2020	MEA	power system	n/a	Liberia	15 counties		Yes	explicit	spatial distribution	electricity access	equality	maximise utility based on electricity access and an equality parameter			
Patrizio, P., Pratama, Y. W., & Dowell, N. M. (2020). Socially Equitable Energy System Transitions. Joule, 4(8), 1700–1713. https://doi.org/10.1016/j.joule.2020.07.010	Yes	does not really handle equity	Joule	2020	ESO-X + JEDI	power system	2050	UK, Spain and Poland	country		Yes	N/A		Socio-economic indicators	maximise GVA	Scenarios – including socio-economic indicators			
Price, J., Mainzer, K., Petrović, S., Zeyringer, M., & McKenna, R. (2020). The implications of landscape visual impact on future highly renewable power systems: A case study for Great Britain. IEEE Transactions on Power Systems, 1–1. https://doi.org/10.1109/TPWRS.2020.2992061	Yes	Scenicness	IEEE Transactions on Power Systems	2020	highRES	power system	2050	Great Britain	20 zones	Scenicness	No	implicit	spatial distribution	allocation of wind power	not defined	exclusion based on scenicness			
Sasse, J.-P., & Trutnevyte, E. (2019). Distributional trade-offs between regionally equitable and cost-efficient allocation of renewable electricity generation. Applied Energy, 254, 113724. https://doi.org/10.1016/j.apenergy.2019.113724	Yes		Applied Energy	2019	EXPANSE	power system	2035	Switzerland	Municipalities / Local administrative units (LAU2)	Energy justice	Yes	explicit	spatial distribution	allocation of energy technologies, economic impacts	equality, cost-efficiency	MGA			
Sasse, J.-P., & Trutnevyte, E. (2020). Regional impacts of electricity system transition in Central Europe until 2035. Nature Communications, 11(1), 4972. https://doi.org/10.1038/s41467-020-18812-y	Yes		Nature Communications	2020	EXPANSE + Pypsa-Eur		2035	Austria, Denmark, France, Germany, Poland and Switzerland	NUTS3		Yes	explicit	spatial distribution	regional impacts	equality, cost-efficiency	MGA			
Süsser, D., al Rakouki, H., & Lilliestam, J. (2021). The QTDIAN modelling toolbox – Quantification of social drivers and constraints of the diffusion of energy technologies. IASS Potsdam. https://publications.iass-potsdam.de/rest/items/item_6000973_1/component/file_6000974/content	Maybe	Storylines		2021															
"Tröndle, T., Lilliestam, J., Marelli, S., & Pfenninger, S. (2020). Trade-Offs between Geographic Scale, Cost, and Infrastructure Requirements for Fully Renewable Electricity in Europe. Joule, 4(9), 1929–1948. https://doi.org/10.1016/j.joule.2020.07.018
"	Maybe, probably not?																		
"Trotter, P. A., Cooper, N. J., & Wilson, P. R. (2019). A multi-criteria, long-term energy planning optimisation model with integrated on-grid and off-grid electrification – The case of Uganda. Applied Energy, 243, 288–312. https://doi.org/10.1016/j.apenergy.2019.03.178
"	Yes		Applied Energy	2019	MO-MILP														
Wehrle, S., Schmidt, J., & Mikovits, C. (2020). The Cost of Undisturbed Landscapes. ArXiv:2006.08009 [Cs, Econ, Eess, q-Fin]. http://arxiv.org/abs/2006.08009	Maybe			2020	medea	power system	2030	Austria				implicit							
Weinand, J. M., McKenna, R., Kleinebrahm, M., Scheller, F., & Fichtner, W. (2021). The impact of public acceptance on cost efficiency and environmental sustainability in decentralized energy systems. Patterns, 2(7), 100301. https://doi.org/10.1016/j.patter.2021.100301	Yes	Scenicness	Patterns	2021	RE³ASON	energy system	2050	Germany	Municipalities / Local administrative units (LAU)	Scenicness	No	implicit (uncertain)	spatial distribution	allocation of wind power	equality, cost-efficiency	exclusion based on scenicness			
