study	relevance	note	journal	year_published	model_name	sector_included	target_year	spatial_scope	spatial_nodes	central_framework	justice primary focus	implicit/explicit justice	type_of_justice	cause_of_justice	equity_definitions	evaluation_method	point_of_integration	handled_in_model	social_aspect	results	objective
Bolwig, S., Bolkesjø, T. F., Klitkou, A., Lund, P. D., Bergaentzlé, C., Borch, K., Olsen, O. J., Kirkerud, J. G., Chen, Y., Gunkel, P. A., & Skytte, K. (2020). Climate-friendly but socially rejected energy-transition pathways: The integration of techno-economic and socio-technical approaches in the Nordic-Baltic region. Energy Research & Social Science, 67, 101559. https://doi.org/10.1016/j.erss.2020.101559	Yes	informed scenarios	Energy Research & Social Science	2020	BALMOREL	power and heat	2050	Denmark, Estonia, Finland, Latvia, Lithuania, Norway and Sweden	13	Three perspectives on national energy transitions	No	implicit	spatial distribution	electricity prices and revenues, allocation of energy technologies, consumer cost of electricity	not defined		storylines, scenarios, input parameters	Scenarios - cost adders for onshore wind and transmission lines		restriction on wind increase electricity prices in the Nordics (except Denmark) and the Baltics, while restriction on transmission do the opposite. 	
Chen, Y., Kirkerud, J. G., & Bolkesjø, T. F. (2022). Balancing GHG mitigation and land-use conflicts: Alternative Northern European energy system scenarios. Applied Energy, 310, 118557. https://doi.org/10.1016/j.apenergy.2022.118557	Yes		Applied Energy	2022	BALMOREL		2040	Thirteen European countries			No	implicit	spatial distribution	allocation of energy technologies	not defined		modelling process	MGA			
Christ, M., Soethe, M., Degel, M., & Wingenbach, C. (2017). Wind Energy Scenarios for the Simulation of the German Power System Until 2050: The Effect of Social and Ecological Factors. In V. Wohlgemuth, F. Fuchs-Kittowski, & J. Wittmann (Eds.), Advances and New Trends in Environmental Informatics (pp. 167–180). Springer International Publishing. https://doi.org/10.1007/978-3-319-44711-7_14																					
Drechsler, M., Egerer, J., Lange, M., Masurowski, F., Meyerhoff, J., & Oehlmann, M. (2017). Efficient and equitable spatial allocation of renewable power plants at the country scale. Nature Energy, 2(9), 1–9. https://doi.org/10.1038/nenergy.2017.124	Yes		Nature Energy	2017	ELMOD-DE	power system	2012	Germany	13	not defined	Yes	explicit	spatial distribution	allocation of energy technologies	equality	gini index/lorenz curve	modelling process	multi-objective genetic algorithm			
Fell, M. J., Pye, S., & Hamilton, I. (2020). Capturing the distributional impacts of long-term low-carbon transitions. Environmental Innovation and Societal Transitions, 35, 346–356. https://doi.org/10.1016/j.eist.2019.01.007	Yes		Environmental Innovation and Societal Transitions	2020	ESME	energy system	2050	United Kingdom	24		Yes	explicit	societal distribution	Socio-economic indicators	not defined		modelling process				
Flachsbarth, F., Wingenbach, M., & Koch, M. (2021). Addressing the Effect of Social Acceptance on the Distribution of Wind Energy Plants and the Transmission Grid in Germany. Energies, 14(16), 4824. https://doi.org/10.3390/en14164824 	Yes		Energies	2021	PowerFlex-Grid	power system	2030	Germany					spatial distribution	allocation of wind power	equality						
Gladkykh, G., Davíðsdóttir, B., & Diemer, A. (2021). When justice narratives meet energy system models: Exploring energy sufficiency, sustainability, and universal access in Sub-Saharan Africa. Energy Research & Social Science, 79, 102075. https://doi.org/10.1016/j.erss.2021.102075			Energy Research & Social Science	2021		power system	2040	Sub-Saharan Africa		Sufficiency	Yes	ts					storylines, scenarios, input parameters				
Grimsrud, K. M., Hagem, C., Lind, A., & Lindhjem, H. (2020). Efficient spatial allocation of wind power plants given environmental externalities due to turbines and grids (Discussion Paper No. 938; p. 30). Statistics Norway. https://www.ssb.no/en/forskning/discussion-papers/_attachment/430436?_ts=174494097a0	Yes			2020	TIMES-Norway	energy system	2050	Norway	5	WTP & WTA		implicit	spatial distribution	allocation of wind power	not defined		storylines, scenarios, input parameters and modelling process	environmental costs included	social cost = private costs + environmental costs		
Koecklin, M. T., Longoria, G., Fitiwi, D. Z., DeCarolis, J. F., & Curtis, J. (2021). Public acceptance of renewable electricity generation and transmission network developments: Insights from Ireland. Energy Policy, 151, 112185. https://doi.org/10.1016/j.enpol.2021.112185	No		Energy Policy	2021	ENGINE	power system	2030	Ireland			No	implicit	spatial distribution	allocation of wind power and transmission lines	not defined						
Li, F. G. N., Pye, S., & Strachan, N. (2016). Regional winners and losers in future UK energy system transitions. Energy Strategy Reviews, 13–14, 11–31. https://doi.org/10.1016/j.esr.2016.08.002	Yes		Energy Strategy Reviews	2016	ESME	energy system	2050	United Kingdom	24	Realising Transition Pathways	Yes	implicit	spatial distribution	allocation of energy technologies and costs	not defined		storylines, scenarios, input parameters	Socio-technical scenarios			
Lombardi, F., Pickering, B., Colombo, E., & Pfenninger, S. (2020). Policy Decision Support for Renewables Deployment through Spatially Explicit Practically Optimal Alternatives. Joule, 4(10), 2185–2207. https://doi.org/10.1016/j.joule.2020.08.002	Yes		Joule	2020	Calliope	power system	2050	Italy	20		No	implicit	spatial distribution	allocation of energy technologies	not defined		modelling process	MGA	social value maximisation (total system cost – gross value added)		
Menghwani, V., Zerriffi, H., Korkovelos, A., Khavari, B., Sahlberg, A., Howells, M., & Mentis, D. (2020). Planning with justice: Using spatial modelling to incorporate justice in electricity pricing – The case of Tanzania. Applied Energy, 264, 114749. https://doi.org/10.1016/j.apenergy.2020.114749	Maybe	Is it ok to include	Applied Energy	2020	ONSSET	power system	2030	Tanzania	Grid-cell (1km x 1km)	Energy justice	Yes	explicit	spatial and societal distribution	Affordable electricity pricing	equality, equity		model output		equal electricity prices across space or adjusted to the poverty rate of a region		
Neumann, F. (2021). Costs of regional equity and autarky in a renewable European power system. Energy Strategy Reviews, 35, 100652. https://doi.org/10.1016/j.esr.2021.100652	Yes		Energy Strategy Reviews	2021	PyPSA-Eur	power system	2030	Europe	200		Yes	explicit	spatial distribution	allocation of energy technologies	equality	gini index/lorenz curve	modelling process	equity constraints			
Neumann, F., & Brown, T. (2021). The near-optimal feasible space of a renewable power system model. Electric Power Systems Research, 190, 106690. https://doi.org/10.1016/j.epsr.2020.106690	Yes		Electric Power Systems Research	2021	PyPSA-Eur	power system	2030	Europe	100		No	explicit	spatial distribution	allocation of energy technologies		gini index/lorenz curve	modelling process	MGA			
Nock, D., Levin, T., & Baker, E. (2020). Changing the policy paradigm: A benefit maximization approach to electricity planning in developing countries. Applied Energy, 264, 114583. https://doi.org/10.1016/j.apenergy.2020.114583	Yes		Applied Energy	2020	MEA	power system	n/a	Liberia	15		Yes	explicit	spatial distribution	electricity access	equality	gini index/lorenz curve	model output	maximise utility based on electricity access and an equality parameter			
